Index,Text,Category
1830,microsoft release bumper patch  microsoft warn pc user update system late security fix flaw window program  monthly security bulletin flag eight critical security hole could leave pc open attack left unpatched number hole consider critical usual affect window program include internet explorer ie medium player instant message four important fix also release consider less critical however update either automatically manually pc user run program could vulnerable virus malicious attack design exploit hole many flaw could use virus writer take computer remotely install program change delete see data  one critical patch microsoft make available important one fix ie flaw stephen toulouse microsoft security manager say flaw know although firm see attack exploit flaw rule often critical flaw announce spate virus follow home user business leave flaw unpatched patch fix hole medium player window messenger msn messenger attacker could use take control unprotected machine png file microsoft announces vulnerability software every month important one class critical late release come week company announce buy security software maker sybari software part microsofts plan make security program ,tech
2181,price trust pc security  buy trust computer really trust pc vendor asks technology analyst bill thompson  recently bought ibm thinkvantage computer dell optiplex one whole range laptop toshiba hpcompaq samsung may get money realise inside shiny new pc extra chip call trust platform module tpm use range hardwarebased security feature eventually tpm built main processor trust compute group way find one every piece hardware mobile phone tv set top box childrens toy moment separate piece hardware provide enhance security feature program know use part welldesigned network system provide lot security enjoy today big advantage tpm hardwarebased  moment u rely software keep information safe secure might passwordprotected user account data encryption program firewall relies program code run inherently insecure processor  hardware security less common even lot safer partly expensive give someone smartcard password also work user system administrator manager result settle second best come computer security trust system could major step forward laptop run program digitally sign lot harder virus writer get malicious code run file lock automatically even get computer steal personal data safeguard moment support trust hardware built major operating system instead use special software like hp protecttools wave system embassy provide file encryption password management identity protection usually business user connect company network full support trust compute specification available microsoft next release window longhorn include microsoft typical act obscurantism call next generation secure compute base give userlevel program access trust compute hardware happens expect see lot publicity around new capability doubt window security centre encourage user turn trust compute capability turn firewall however downside increase security virus spyware data theft provide  trust compute base also use make digital right management drm system secure give content provider lot control music movie book bought see recently allow digital right management service life lead unwelcome consequence user apple itunes use able stream music brought five itunes user great way let mate discover music collection  late version itunes limit capability earlier upgrade reduce number time could burn select playlist purchase song cd another take away ability play song download real harmony service ipod apple write software control right management embed trust hardware even harder dedicate programmer find way around restriction give u back fair use right guaranteed copyright law similarly user tivo digital video recorder found cannot record show programme record automatically delete day happens change tivo make software user cannot control one wonder whether hardwarebased drm work believe lockingdown digital content bad idea flexibility copyright law something embrace take away work fundamental flaw heart system order purchaser view content unlocked unlocked someone somewhere figure way make copy unlocked version unlocked version leak onto network uncontrollable effort go drm would much well spent building efficient distribution service find business model base trust customer offering high quality downloads fair price want much trust compute platform trust customer platform record company film industry need recognise u time pay reasonable amount good quality material benefit building market share song friend record show want watch later burn cd kid market respect spirit copyright law seek replace restrictive contract end user agreement need ensure trust compute remains control user use take away freedom enjoy today  bill thompson regular commentator bbc world service programme go digital ,tech
2142,cell get hard sell  world cast gaze cell processor first time important different  backer processor big name computer industry ibm one large respect chipmakers world provide cut edge technology large business sony use chip inside playstation 3 console dominance game market mean lot power dictate future computer game platform technology inside cell herald revolutionary technical standpoint traditional computer  whether household pc playstation 2  use single processor carry calculation run computer cell technology hand us multiple cell processor link together run lot calculation simultaneously  give processing power order magnitude competitor whilst rival work similar technology sonys advanced speed computer memory slowly increase last year memory technology accompanies cell huge leap performance  use technology call xdr create american firm rambus memory run eight time faster current standard promote intel perhaps important technology cell role imminent war living room big trend predict year convergence computer home entertainment device dvd player hifis company like microsoft sony believe lot money make put computer underneath tv every household offering service music video downloads well give individual access medium already one place  microsoft already make first tactical move area window medium center software adopt many pc maker sony stab something similar psx  variation playstation  last year japan although attempt generally see failure company believe increase capability game console make powerful pc make technology accessible enough persuade buyer give pride place video rack  sony ibm want make sure dominance pc market enjoy microsoft intel allow extend market create radically new architecture use architecture game console sure huge seller hope cell processor become dominant technology living room shut rival establish tv doubt hope use base camp extend might traditional pc instigate regime change desktop cell fact specifically design deployed throughout house link multiple processor also extend reach cell processor entirely different system  sony hope put cell television kitchen appliance anywhere could use sort computer chip cell link others create vast home network compute power resource cell across house pool provide power link also use enable device talk programme microwave tv example digital home future depends widespread adoption cell processor thing number reason could fail processor different require programmer learn different way write software may changeover simply difficult master also guarantee microsoft intel go sit around let cell take home compute without fight microsoft go push xbox 2 hard possible make sure technology sonys tree next christmas intel furiously work new design address problem current chip create rival technology cell doesnt lose desktop pc dominance cell succeed become living room technology choice however could provide jumpstart fully digital home future revolution might televise could well played videogame controller ,tech
1948,force strong battlefront  warm reception greet star war battlefront reflection ingenious innovation gameplay backtobasics approach immense nostalgia quotient  gear towards online gamers base around little series allout gunfight set array location feature hint two blockbusting film trilogy previous star war title like acclaim knight old republic jedi knight regularly impressed imaginative foray far corner franchise extensive universe use weird wonderful new character battlefront hand wholeheartedly revisits recognisable element hit movie  sight sound protagonist show instantly familiar fan may well feel opportunity relive star war memorable screen skirmish make game always wait mayhem view either third firstperson perspective either fight force freedom join darth vader dark side depend episode type campaign well player personal propensity good evil  ample chance wookie shoot ewoks rush battle alongside firedup luke skywalker section task simply wipe enemy troop seize strategic waypoints move next planet really complicate location include frozen waste hoth ice planet empire strike back complete massive mechanical atats march also dusty sinister desert tatooine geonosis well forest moon endor return jedis muchmaligned ewoks live feel place well truly capture backdrop character look good authentic worth note though playstation 2 game graphic curiously long way behind xbox version pivotal element behind battlefront success successfully give feel plunge midst largescale war number combatant noise abundance laser fire see sense chaos really come  speak noise battlefront real testament strength star war galaxy audio motif  multitude distinctive weapon vehicle noise immensely familiar stir john williams symphony never let also particularly snazzy remix one theme menu section say game boon star war would stand long gameplay reliable bogstandard stuff short originality also odd annoyance like game insistence respawning mile away action irritate price pay get blown second appear weapon vehicle responsive fluid operate might say still great fun pilot scout walker speeder bike however non userfriendly prove whilst firmly design multiplayer action mind battlefront actually perfectly good fun offline game aboveaverage ai enemy see although give frenetic environment operate strategic behaviour need sophisticated battlefront novelty value doubtless wear relatively fast leave behind slightly empty onetrickpony game absolute blast one immediately satisfy video game offering yet george lucas stable ,tech
1918,mobile game come age  bbc news website take look game mobile phone mature brief roundup follow skip straight review click link  think snake mention mobile game could bit surprise mobile game come long way short time even nokias ngage game phone launch late 2003 many mobile operator realise audience look something play handset  give many people handset portable game play gadget gameboy could lucrative market audience include commuter want something fill time way home game fan look bit variety hard core gamers like play every moment life type player get immeasurably well last year number title download phone snowball site wireless game review list 200 different title uk network range suit every possible taste port pc arcade classic space invader lunar lander bejewel also version title colin mcrae rally typically find pc console  shootemups adventure game strategy title many novel game found handset rarely action movie launch without mobile game tiein increasingly launch part promotional campaign film understandable realise good game rack million downloads return pretty good consider game cost 5 also help game mobile thrive fact easy ever get hold thanks technology know wap push send text message game maker title download handset far well navigate menu mobile operator portal number handset play game grown hugely almost half phone java onboard meaning play increasingly sophisticated game available  even one use 3d graphic  minimum technology specification phone adhere get sophisticated mean game double key press possible make familiar tactic move strafe real option processing power handset mean physic mobile game get convincing graphic improve game maker also start take advantage extra capability mobile many title particularly race game let upload best time see compare others usually get hold best time race ghost shadow see beat game also let take people real time via network sit close via bluetooth shortrange radio technology much go hard justice sheer diversity happen two feature help point direction game maker give idea look get play   fast furious digital bridge   soon start play remember never play drive game  im rubbish matter drive car via joystick keypad cannot get hang brake corner timing rush pas driver game reward replay advance complete every section within time limit win give cash upgrade graphically roll road convincing enough evocation speed palm tree cactus whip city scroll past background car handle pretty well despite uselessness clear different model car appreciably different track niggle interface bit confuse especially use joystick rather keypad play   fatal force macrospace   futuristic shooter let either play various deathmatch mode phone run series scenario involves kill alien invade earth graphic bit cartoonlike help make clear go level well laid encourage leap explore background music sound effect work well scenario well script regularly get hint fatal force commander weapon include flamethrower rocket launcher grenade couple point even get chance use mech short right powerup go matrixstyle bullet time cope onslaught alien game let play via bluetooth others range online game quite follow clan player ranking even new downloadable map ,tech
1884,concern rfid tag  consumer concerned use radio frequency id rfid tag shop survey say  half 2000 people survey say privacy worry tag use monitor stock shelf warehouse consumer group express concern tag could use monitor shopper left shop purchase survey show awareness tag among consumer europe low survey consumer uk france germany netherlands carry consultancy group capgemini firm work behalf 30 firm seek promote growth rfid technology tag combination computer chip antenna read scanner  item contains unique identification number  half 55 respondent say either concerned concerned rfid tag would allow business track consumer via product purchase fifty nine percent people say worried rfid tag would allow data use freely third party ard jan vetham capgeminis principal consultant rfid say survey show retailer need inform educate people rfid would become accepted technology acceptance new technology always tip point consumer believe benefit outweigh concern right rfid approach ongoing communication consumer industry reach point say survey also show people would accept rfid felt technology could mean reduction car theft faster recovery steal item tag currently use one tesco distribution centre uk  tag allow rapid inventory bulk item also use passcard m6 toll midland uk vetham say majority people survey 52 believe rfid tag could read distance say misconception base lack awareness technology least consumer group  consumer supermarket privacy invasion number caspian  claimed rfid chip could use secretly identify people thing carry wear kind personal belonging include clothes could constantly broadcast message whereabouts owner warn ,tech
1959,bt offer free net phone call  bt offering customer free internet telephone call sign broadband december  christmas giveaway entitles customer free telephone call anywhere uk via internet user need use bts internet telephony software know bt communicator microphone speaker headset pc bt launch promotion show potential broadband connection customer  people want take advantage offer need bt together fixedline customer sign broadband online offer limited first 50000 people sign limitation  free call include call mobile nongeographical number 0870 premium number international number bt keen provide extra service broadband customer people already use bt communicator found far convenient way make call pc say andrew burke director valueadded service bt retail home get highspeed access provider increasingly offering addons cheap net call broadband telephony attractive customer bt want make sure first wave service say ian fogg analyst jupiter research bt communicator quiet launch summer bt wave flag bit add  bt struggle maintain market share broadband subscriber competitor enter market report say bt lose around 10 market share last year half broadband user less 40 bt hop late offer persuade people jump broadband bandwagon currently 13 million broadband subscriber ,tech
2055,bbc web search aid odd query  bbcs online search engine use record amount 2004 help enquires simple strange  277 million enquiry make ask informaton wide range subject request search term 2004 include game eastenders cbbc john peel harry potter olympics many strange enquiry include dog say basketball big collection naval fluff search engine work match key word typed different web page many people still type natural language question strangest query 2004  spell grammar error left untouched  possible solution     fold serviette like elf boot        structure french letter        well one long vacation year several short vacation throughout year        special swiss        contemporary issue nurse        number 4 number 40052308090               name james martin dog     search engine key way people use internet company google become paramount importance dictate people travel website online ,tech
1915,norway upholds napster ruling  norwegian student ran website link downloadable mp3 file order pay compensation country supreme court  frank allan bruvik order pay 100000 krone 8000 music industry norway student set napsterno site allow user submit receive link mp3 file bruvik earlier clear appeal low court found music industry music industry boss norway say ruling would help build confidence internet distribution medium  frank allan bruvik set napsterno website part school project 2001 study computer engineering norwegian town lillehammer website associate napstercom site usa operating since 1999 already face legal action  bruviks site online august november 2001 host music peak provide link 170 free file server well provide link site allow visit submit link could later access visitor legal complaint copyright violation file group include norway perform right society tono norwegian branch sony music universal music saw important test principle  norwegian court rule 2003 bruvik would pay 100000 krone music industry country court appeal clear say copyright violation occur others post music however supreme court state music clearly publish violation copyright law add case decide base responsibility abet illegal act bruviks action premeditate norway music industry say satisfied ruling show music piracy would accepted  meanwhile usa 717 lawsuit people allege trade copyright song file week record industry association america suit brought behalf major record company cite individual illegally distribute music via unauthorized peertopeer service kazaa edonkey precede case fresh action make socalled john doe defendant identify code give computer internet connection ,tech
1891,creator first apple mac dy  jef raskin head team behind first macintosh computer die  raskin one first employee apple make many design decision make mac distinctive first release lead team decide use graphical interface mouse let people navigate around computer point click 1984 release mac reflect raskins belief good design make computer easy use  raskin join apple 1978 employee number 31 initially lead company publication department however 1979 put charge small team design computer live idea machine cheap aim consumer rather computer professional easy use  result 1984 macintosh away common textbased interface favour one base around graphic resemble virtual desktop use folder document user navigate around machine use mouse point click drag although common use almost computer method pioneer first use macintosh gui developed xerox parc use star machine acceptance interface truly begin concept developed use apple pioneer lisa computer role macintosh initiator project wouldnt werent say andy hertzfeld early macintosh team member although raskin drove team create macintosh stay apple see release 1981 remove project follow dispute apple mercurial bos steve job 1982 raskin left apple entirely macintosh reputedly name raskins favourite apple though name change slightly follow trademark dispute another company leave apple raskin found another company call information appliance continued work well way interface computer also accomplish musician played three instrument conduct san franciscos chamber opera society raskin diagnose december 2004 pancreatic cancer die 26 february home california ,tech
